"Synthetic_significant";"Chromosome"
"sample_Chr7_Monosomy70";"Chr7"
"sample_Chr7_Trisomy80";"Chr7"
"sample_Chr7_Monosomy80";"Chr7"
"sample_Chr7_Trisomy90";"Chr7"
"sample_Chr7_Monosomy90";"Chr7"
"sample_Chr7_Trisomy100";"Chr7"
"sample_Chr7_Monosomy100";"Chr7"
"sample_Chr8_Monosomy10";"Chr8"
"sample_Chr8_Trisomy20";"Chr8"
"sample_Chr8_Monosomy20";"Chr8"
"sample_Chr8_Trisomy30";"Chr8"
"sample_Chr8_Monosomy30";"Chr8"
"sample_Chr8_Trisomy40";"Chr8"
"sample_Chr8_Monosomy40";"Chr8"
"sample_Chr8_Trisomy50";"Chr8"
"sample_Chr8_Monosomy50";"Chr8"
"sample_Chr8_Trisomy60";"Chr8"
"sample_Chr8_Monosomy60";"Chr8"
"sample_Chr8_Trisomy70";"Chr8"
"sample_Chr8_Monosomy70";"Chr8"
"sample_Chr8_Trisomy80";"Chr8"
"sample_Chr8_Monosomy80";"Chr8"
"sample_Chr8_Trisomy90";"Chr8"
"sample_Chr8_Monosomy90";"Chr8"
"sample_Chr8_Trisomy100";"Chr8"
"sample_Chr8_Monosomy100";"Chr8"
"sample_Chr9_Trisomy10";"Chr9"
"sample_Chr9_Trisomy20";"Chr9"
"sample_Chr9_Monosomy20";"Chr9"
"sample_Chr9_Trisomy30";"Chr9"
"sample_Chr9_Monosomy30";"Chr9"
"sample_Chr9_Trisomy40";"Chr9"
"sample_Chr9_Monosomy40";"Chr9"
"sample_Chr9_Trisomy50";"Chr9"
"sample_Chr9_Monosomy50";"Chr9"
"sample_Chr9_Trisomy60";"Chr9"
"sample_Chr9_Monosomy60";"Chr9"
"sample_Chr9_Trisomy70";"Chr9"
"sample_Chr9_Monosomy70";"Chr9"
"sample_Chr9_Trisomy80";"Chr9"
"sample_Chr9_Monosomy80";"Chr9"
"sample_Chr9_Trisomy90";"Chr9"
"sample_Chr9_Monosomy90";"Chr9"
"sample_Chr9_Trisomy100";"Chr9"
"sample_Chr9_Monosomy100";"Chr9"
"sample_Chr10_Monosomy10";"Chr10"
"sample_Chr10_Trisomy20";"Chr10"
"sample_Chr10_Monosomy20";"Chr10"
"sample_Chr10_Trisomy30";"Chr10"
"sample_Chr10_Monosomy30";"Chr10"
"sample_Chr10_Trisomy40";"Chr10"
"sample_Chr10_Monosomy40";"Chr10"
"sample_Chr10_Trisomy50";"Chr10"
"sample_Chr10_Monosomy50";"Chr10"
"sample_Chr10_Trisomy60";"Chr10"
"sample_Chr10_Monosomy60";"Chr10"
"sample_Chr10_Trisomy70";"Chr10"
"sample_Chr10_Monosomy70";"Chr10"
"sample_Chr10_Trisomy80";"Chr10"
"sample_Chr10_Monosomy80";"Chr10"
"sample_Chr10_Trisomy90";"Chr10"
"sample_Chr10_Monosomy90";"Chr10"
"sample_Chr10_Trisomy100";"Chr10"
"sample_Chr10_Monosomy100";"Chr10"
"sample_Chr11_Trisomy10";"Chr11"
"sample_Chr11_Monosomy10";"Chr11"
"sample_Chr11_Trisomy20";"Chr11"
"sample_Chr11_Monosomy20";"Chr11"
"sample_Chr11_Trisomy30";"Chr11"
"sample_Chr11_Monosomy30";"Chr11"
"sample_Chr11_Trisomy40";"Chr11"
"sample_Chr11_Monosomy40";"Chr11"
"sample_Chr11_Trisomy50";"Chr11"
"sample_Chr11_Monosomy50";"Chr11"
"sample_Chr11_Trisomy60";"Chr11"
"sample_Chr11_Monosomy60";"Chr11"
"sample_Chr11_Trisomy70";"Chr11"
"sample_Chr11_Monosomy70";"Chr11"
"sample_Chr11_Trisomy80";"Chr11"
"sample_Chr11_Monosomy80";"Chr11"
"sample_Chr11_Trisomy90";"Chr11"
"sample_Chr11_Monosomy90";"Chr11"
"sample_Chr11_Trisomy100";"Chr11"
"sample_Chr11_Monosomy100";"Chr11"
"sample_Chr12_Trisomy20";"Chr12"
"sample_Chr12_Monosomy20";"Chr12"
"sample_Chr12_Trisomy30";"Chr12"
"sample_Chr12_Monosomy30";"Chr12"
"sample_Chr12_Trisomy40";"Chr12"
"sample_Chr12_Monosomy40";"Chr12"
"sample_Chr12_Trisomy50";"Chr12"
"sample_Chr12_Monosomy50";"Chr12"
"sample_Chr12_Trisomy60";"Chr12"
"sample_Chr12_Monosomy60";"Chr12"
"sample_Chr12_Trisomy70";"Chr12"
"sample_Chr12_Monosomy70";"Chr12"
"sample_Chr12_Trisomy80";"Chr12"
"sample_Chr12_Monosomy80";"Chr12"
"sample_Chr12_Trisomy90";"Chr12"
"sample_Chr12_Monosomy90";"Chr12"
"sample_Chr12_Trisomy100";"Chr12"
"sample_Chr12_Monosomy100";"Chr12"
"sample_Chr13_Trisomy10";"Chr13"
"sample_Chr13_Monosomy10";"Chr13"
"sample_Chr13_Trisomy20";"Chr13"
"sample_Chr13_Monosomy20";"Chr13"
"sample_Chr13_Trisomy30";"Chr13"
"sample_Chr13_Monosomy30";"Chr13"
"sample_Chr13_Trisomy40";"Chr13"
"sample_Chr13_Monosomy40";"Chr13"
"sample_Chr13_Trisomy50";"Chr13"
"sample_Chr13_Monosomy50";"Chr13"
"sample_Chr13_Trisomy60";"Chr13"
"sample_Chr13_Monosomy60";"Chr13"
"sample_Chr13_Trisomy70";"Chr13"
"sample_Chr13_Monosomy70";"Chr13"
"sample_Chr13_Trisomy80";"Chr13"
"sample_Chr13_Monosomy80";"Chr13"
"sample_Chr13_Trisomy90";"Chr13"
"sample_Chr13_Monosomy90";"Chr13"
"sample_Chr13_Trisomy100";"Chr13"
"sample_Chr13_Monosomy100";"Chr13"
"sample_Chr14_Monosomy10";"Chr14"
"sample_Chr14_Trisomy20";"Chr14"
"sample_Chr14_Monosomy20";"Chr14"
"sample_Chr14_Trisomy30";"Chr14"
"sample_Chr14_Monosomy30";"Chr14"
"sample_Chr14_Trisomy40";"Chr14"
"sample_Chr14_Monosomy40";"Chr14"
"sample_Chr14_Trisomy50";"Chr14"
"sample_Chr14_Monosomy50";"Chr14"
"sample_Chr14_Trisomy60";"Chr14"
"sample_Chr14_Monosomy60";"Chr14"
"sample_Chr14_Trisomy70";"Chr14"
"sample_Chr14_Monosomy70";"Chr14"
"sample_Chr14_Trisomy80";"Chr14"
"sample_Chr14_Monosomy80";"Chr14"
"sample_Chr14_Trisomy90";"Chr14"
"sample_Chr14_Monosomy90";"Chr14"
"sample_Chr14_Trisomy100";"Chr14"
"sample_Chr14_Monosomy100";"Chr14"
"sample_Chr15_Trisomy10";"Chr15"
"sample_Chr15_Monosomy10";"Chr15"
"sample_Chr15_Trisomy20";"Chr15"
"sample_Chr15_Monosomy20";"Chr15"
"sample_Chr15_Trisomy30";"Chr15"
"sample_Chr15_Monosomy30";"Chr15"
"sample_Chr15_Trisomy40";"Chr15"
"sample_Chr15_Monosomy40";"Chr15"
"sample_Chr15_Trisomy50";"Chr15"
"sample_Chr15_Monosomy50";"Chr15"
"sample_Chr15_Trisomy60";"Chr15"
"sample_Chr15_Monosomy60";"Chr15"
"sample_Chr15_Trisomy70";"Chr15"
"sample_Chr15_Monosomy70";"Chr15"
"sample_Chr15_Trisomy80";"Chr15"
"sample_Chr15_Monosomy80";"Chr15"
"sample_Chr15_Trisomy90";"Chr15"
"sample_Chr15_Monosomy90";"Chr15"
"sample_Chr15_Trisomy100";"Chr15"
"sample_Chr15_Monosomy100";"Chr15"
"sample_Chr16_Trisomy20";"Chr16"
"sample_Chr16_Monosomy20";"Chr16"
"sample_Chr16_Trisomy30";"Chr16"
"sample_Chr16_Monosomy30";"Chr16"
"sample_Chr16_Trisomy40";"Chr16"
"sample_Chr16_Monosomy40";"Chr16"
"sample_Chr16_Trisomy50";"Chr16"
"sample_Chr16_Monosomy50";"Chr16"
"sample_Chr16_Trisomy60";"Chr16"
"sample_Chr16_Monosomy60";"Chr16"
"sample_Chr16_Trisomy70";"Chr16"
"sample_Chr16_Monosomy70";"Chr16"
"sample_Chr16_Trisomy80";"Chr16"
"sample_Chr16_Monosomy80";"Chr16"
"sample_Chr16_Trisomy90";"Chr16"
"sample_Chr16_Monosomy90";"Chr16"
"sample_Chr16_Trisomy100";"Chr16"
"sample_Chr16_Monosomy100";"Chr16"
"sample_Chr17_Monosomy10";"Chr17"
"sample_Chr17_Trisomy20";"Chr17"
"sample_Chr17_Monosomy20";"Chr17"
"sample_Chr17_Trisomy30";"Chr17"
"sample_Chr17_Monosomy30";"Chr17"
"sample_Chr17_Trisomy40";"Chr17"
"sample_Chr17_Monosomy40";"Chr17"
"sample_Chr17_Trisomy50";"Chr17"
"sample_Chr17_Monosomy50";"Chr17"
"sample_Chr17_Trisomy60";"Chr17"
"sample_Chr17_Monosomy60";"Chr17"
"sample_Chr17_Trisomy70";"Chr17"
"sample_Chr17_Monosomy70";"Chr17"
"sample_Chr17_Trisomy80";"Chr17"
"sample_Chr17_Monosomy80";"Chr17"
"sample_Chr17_Trisomy90";"Chr17"
"sample_Chr17_Monosomy90";"Chr17"
"sample_Chr17_Trisomy100";"Chr17"
"sample_Chr17_Monosomy100";"Chr17"
"sample_Chr18_Trisomy10";"Chr18"
"sample_Chr18_Monosomy10";"Chr18"
"sample_Chr18_Trisomy20";"Chr18"
"sample_Chr18_Monosomy20";"Chr18"
"sample_Chr18_Trisomy30";"Chr18"
"sample_Chr18_Monosomy30";"Chr18"
"sample_Chr18_Trisomy40";"Chr18"
"sample_Chr18_Monosomy40";"Chr18"
"sample_Chr18_Trisomy50";"Chr18"
"sample_Chr18_Monosomy50";"Chr18"
"sample_Chr18_Trisomy60";"Chr18"
"sample_Chr18_Monosomy60";"Chr18"
"sample_Chr18_Trisomy70";"Chr18"
"sample_Chr18_Monosomy70";"Chr18"
"sample_Chr18_Trisomy80";"Chr18"
"sample_Chr18_Monosomy80";"Chr18"
"sample_Chr18_Trisomy90";"Chr18"
"sample_Chr18_Monosomy90";"Chr18"
"sample_Chr18_Trisomy100";"Chr18"
"sample_Chr18_Monosomy100";"Chr18"
"sample_Chr19_Trisomy10";"Chr19"
"sample_Chr19_Trisomy20";"Chr19"
"sample_Chr19_Monosomy20";"Chr19"
"sample_Chr19_Trisomy30";"Chr19"
"sample_Chr19_Monosomy30";"Chr19"
"sample_Chr19_Trisomy40";"Chr19"
"sample_Chr19_Monosomy40";"Chr19"
"sample_Chr19_Trisomy50";"Chr19"
"sample_Chr19_Monosomy50";"Chr19"
"sample_Chr19_Trisomy60";"Chr19"
"sample_Chr19_Monosomy60";"Chr19"
"sample_Chr19_Trisomy70";"Chr19"
"sample_Chr19_Monosomy70";"Chr19"
"sample_Chr19_Trisomy80";"Chr19"
"sample_Chr19_Monosomy80";"Chr19"
"sample_Chr19_Trisomy90";"Chr19"
"sample_Chr19_Monosomy90";"Chr19"
"sample_Chr19_Trisomy100";"Chr19"
"sample_Chr19_Monosomy100";"Chr19"
"sample_Chr20_Monosomy10";"Chr20"
"sample_Chr20_Trisomy20";"Chr20"
"sample_Chr20_Monosomy20";"Chr20"
"sample_Chr20_Trisomy30";"Chr20"
"sample_Chr20_Monosomy30";"Chr20"
"sample_Chr20_Trisomy40";"Chr20"
"sample_Chr20_Monosomy40";"Chr20"
"sample_Chr20_Trisomy50";"Chr20"
"sample_Chr20_Monosomy50";"Chr20"
"sample_Chr20_Trisomy60";"Chr20"
"sample_Chr20_Monosomy60";"Chr20"
"sample_Chr20_Trisomy70";"Chr20"
"sample_Chr20_Monosomy70";"Chr20"
"sample_Chr20_Trisomy80";"Chr20"
"sample_Chr20_Monosomy80";"Chr20"
"sample_Chr20_Trisomy90";"Chr20"
"sample_Chr20_Monosomy90";"Chr20"
"sample_Chr20_Trisomy100";"Chr20"
"sample_Chr20_Monosomy100";"Chr20"
"sample_Chr21_Trisomy10";"Chr21"
"sample_Chr21_Monosomy10";"Chr21"
"sample_Chr21_Trisomy20";"Chr21"
"sample_Chr21_Monosomy20";"Chr21"
"sample_Chr21_Trisomy30";"Chr21"
"sample_Chr21_Monosomy30";"Chr21"
"sample_Chr21_Trisomy40";"Chr21"
"sample_Chr21_Monosomy40";"Chr21"
"sample_Chr21_Trisomy50";"Chr21"
"sample_Chr21_Monosomy50";"Chr21"
"sample_Chr21_Trisomy60";"Chr21"
"sample_Chr21_Monosomy60";"Chr21"
"sample_Chr21_Trisomy70";"Chr21"
"sample_Chr21_Monosomy70";"Chr21"
"sample_Chr21_Trisomy80";"Chr21"
"sample_Chr21_Monosomy80";"Chr21"
"sample_Chr21_Trisomy90";"Chr21"
"sample_Chr21_Monosomy90";"Chr21"
"sample_Chr21_Trisomy100";"Chr21"
"sample_Chr21_Monosomy100";"Chr21"
"sample_Chr22_Trisomy10";"Chr22"
"sample_Chr22_Trisomy20";"Chr22"
"sample_Chr22_Monosomy20";"Chr22"
"sample_Chr22_Trisomy30";"Chr22"
"sample_Chr22_Monosomy30";"Chr22"
"sample_Chr22_Trisomy40";"Chr22"
"sample_Chr22_Monosomy40";"Chr22"
"sample_Chr22_Trisomy50";"Chr22"
"sample_Chr22_Monosomy50";"Chr22"
"sample_Chr22_Trisomy60";"Chr22"
"sample_Chr22_Monosomy60";"Chr22"
"sample_Chr22_Trisomy70";"Chr22"
"sample_Chr22_Monosomy70";"Chr22"
"sample_Chr22_Trisomy80";"Chr22"
"sample_Chr22_Monosomy80";"Chr22"
"sample_Chr22_Trisomy90";"Chr22"
"sample_Chr22_Monosomy90";"Chr22"
"sample_Chr22_Trisomy100";"Chr22"
"sample_Chr22_Monosomy100";"Chr22"
